id_corso;materia;data;ora_inizio;ora_fine;luogo;compenso_orario;stato;fatturato;mese_fatturato;ore_fatturate;cliente
Informatica TUGLIE 5a 5b;Informatica TUGLIE 5a 5b;19/03/2025;15:30;18:30;Tuglie;30.0;Completato;1;2025-04;3.0;dedalos
Informatica TUGLIE 5a 5b;Informatica TUGLIE 5a 5b;26/03/2025;15:30;18:30;Tuglie;30.0;Completato;1;2025-04;3.0;dedalos
Informatica TUGLIE 5a 5b;Informatica TUGLIE 5a 5b;02/04/2025;15:30;18:30;Tuglie;30.0;Completato;0;;0.0;dedalos
Informatica TUGLIE 5a 5b;Informatica TUGLIE 5a 5b;09/04/2025;15:30;18:30;Tuglie;30.0;Completato;0;;0.0;dedalos
Informatica TUGLIE 5a 5b;Informatica TUGLIE 5a 5b;05/03/2025;15:30;18:30;Tuglie;30.0;Completato;1;2025-04;3.0;dedalos
GOL 4249;Gol 4249;14/03/2025;08:30;13:30;Lecce;30.0;Completato;0;;0.0;forumlab
GOL 4249;Gol 4249;17/03/2025;08:30;13:30;Lecce;30.0;Completato;0;;0.0;forumlab
GOL 4249;Gol 4249;19/03/2025;08:30;13:30;Lecce;30.0;Completato;0;;0.0;forumlab
GOL 4249;Gol 4249;21/03/2025;08:30;13:30;Lecce;30.0;Completato;0;;0.0;forumlab
Docenti;Docenti;05/05/2025;16:30;19:30;Parabita;30.0;Completato;0;;0.0;dedalos
Docenti;Docenti;12/05/2025;16:30;19:30;Parabita;30.0;Completato;0;;0.0;dedalos
Docenti;Docenti;14/05/2025;16:30;19:30;Parabita;30.0;Completato;0;;0.0;dedalos
Docenti;Docenti;19/05/2025;16:30;19:30;Parabita;30.0;Completato;0;;0.0;dedalos
GOL sezione 3;GOL sezione 3;03/04/2025;08:00;14:00;Lecce;30.0;Completato;0;;0.0;forumlab
GOL sezione 3;GOL sezione 3;04/04/2025;08:00;14:00;Lecce;30.0;Completato;0;;0.0;forumlab
