id_corso,materia,data,ora_inizio,ora_fine,luogo,compenso_orario,stato,fatturato,mese_fatturato,cliente
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2024-12-13,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2024/12,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2024-12-13,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2024/12,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2024-12-13,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2024/12,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-01-09,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-01-09,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-01-09,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-01-16,15:00,16:00,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-01-16,14:00,15:00,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-01-16,16:00,17:00,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-01-17,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-01-17,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-01-17,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-01-23,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-01-23,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-01-23,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-01-24,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-01-24,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-01-24,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-02-13,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-02-13,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-02-13,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-02-14,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-02-14,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-02-14,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-02-20,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-02-20,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-02-20,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-02-21,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-02-21,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-02-21,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-02-27,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-02-27,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-02-27,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-02-28,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-02-28,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-02-28,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-03-20,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025-04,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-03-20,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025-04,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-03-20,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025-04,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-03-21,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025-04,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-03-21,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025-04,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-03-21,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025-04,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-03-28,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025-04,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-03-28,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025-04,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-03-28,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025-04,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-03-06,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025-04,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-03-06,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025-04,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-03-06,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025-04,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-03-07,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025-04,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-03-07,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025-04,dedalos
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-03-07,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025-04,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-03-13,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025-04,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-03-13,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025-04,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-03-13,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025-04,dedalos
propedeutico pekit,propedeutico pekit,2025-01-28,08:30,13:30,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-03,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
GOL sezione 3,Segreteria,2025-03-22,08:00,14:00,Lecce,30.0,Completato,0,,forumlab
GOL sezione 3,Segreteria,2025-03-29,08:00,14:00,Lecce,30.0,Completato,0,,forumlab
4798,Informatica ufficio,2025-03-29,15:30,20:30,Lecce,30.0,Completato,0,,forumlab
4798,Informatica ufficio,2025-04-05,14:30,20:30,Lecce,30.0,Completato,0,,forumlab
4798,Informatica uffico,2025-04-16,14:30,20:30,Lecce,30.0,Completato,0,,forumlab
4798,Informatica ufficio,2025-04-19,14:30,17:30,Lecce,30.0,Completato,0,,forumlab
7587,Informatica,2025-04-04,14:30,20:30,Lecce,30.0,Completato,0,,forumlab
5116,Informatica,2025-04-01,08:00,14:00,Lecce,30.0,Completato,0,,forumlab
5116,Informatica,2025-04-02,08:00,14:00,Lecce,30.0,Completato,0,,forumlab
Coding e robotica TERZA MEDIA4,Coding,2025-04-11,14:30,17:30,Galatina,30.0,Completato,0,,dedalos
5116,Informatica,2025-04-15,08:00,14:00,Lecce,30.0,Completato,0,,forumlab
5116,Informatica,2025-04-17,08:00,14:00,Lecce,30.0,Completato,0,,forumlab
5116,Informatica,2025-04-18,10:00,14:00,Lecce,30.0,Completato,0,,forumlab
5116,Informatica,2025-04-22,08:00,14:00,Lecce,30.0,Completato,0,,forumlab
AMMIRATO_FALCONE,Informatica,2025-05-10,08:00,16:00,Lecce,30.0,Completato,0,,dedalos
AMMIRATO_FALCONE,Informatica,2025-05-17,08:00,13:00,Lecce,30.0,Completato,0,,dedalos
AMMIRATO_FALCONE,Informatica,2025-05-24,08:00,15:00,Lecce,30.0,Completato,0,,dedalos
PEKIT-GOL,Informatica,2025-06-24,08:00,14:00,Lecce,30.0,Pianificato,0,,forumlab
PEKIT-GOL,Informatica,2025-05-14,08:00,14:00,Lecce,30.0,Completato,0,,forumlab
PEKIT-GOL,Informatica,2025-05-19,08:00,14:00,Lecce,30.0,Completato,0,,forumlab
PEKIT-GOL,Informatica,2025-05-21,08:00,14:00,Lecce,30.0,Completato,0,,forumlab
PEKIT-GOL,Informatica,2025-05-22,08:00,14:00,Lecce,30.0,Completato,0,,forumlab
PEKIT-GOL,Informatica,2025-05-26,08:00,14:00,Lecce,30.0,Completato,0,,forumlab
PEKIT-GOL,Informatica,2025-05-28,08:00,14:00,Lecce,30.0,Pianificato,0,,forumlab
PEKIT-GOL,Informatica,2025-05-29,08:00,14:00,Lecce,30.0,Pianificato,0,,forumlab
PEKIT-GOL,Informatica,2025-05-30,08:00,14:00,Lecce,30.0,Pianificato,0,,forumlab
PEKIT-GOL,Informatica,2025-06-03,08:00,14:00,Lecce,30.0,Pianificato,0,,forumlab
PEKIT-GOL,Informatica,2025-06-04,08:00,14:00,Lecce,30.0,Pianificato,0,,forumlab
PEKIT-GOL,Informatica,2025-06-05,08:00,14:00,Lecce,30.0,Pianificato,0,,forumlab
PEKIT-GOL,Informatica,2025-06-06,08:00,14:00,Lecce,30.0,Pianificato,0,,forumlab
PEKIT-GOL,Informatica,2025-06-09,08:00,14:00,Lecce,30.0,Pianificato,0,,forumlab
PEKIT-GOL,Informatica,2025-06-11,08:00,14:00,Lecce,30.0,Pianificato,0,,forumlab
PEKIT-GOL,Informatica,2025-06-12,08:00,14:00,Lecce,30.0,Pianificato,0,,forumlab
PEKIT-GOL,Informatica,2025-06-25,08:00,14:00,Lecce,30.0,Pianificato,0,,forumlab
PEKIT-GOL,Informatica,2025-06-16,08:00,14:00,Lecce,30.0,Pianificato,0,,forumlab
PEKIT-GOL,Informatica,2025-06-23,08:00,14:00,Lecce,30.0,Pianificato,0,,forumlab
DOCENTI_PARABITA_INFANZIA,Coding,2025-05-05,16:30,19:30,Parabita,30.0,Completato,0,,dedalos
DOCENTI_PARABITA_INFANZIA,Coding,2025-05-12,16:30,19:30,Parabita,30.0,Completato,0,,dedalos
DOCENTI_PARABITA_INFANZIA,Coding,2025-05-14,16:30,19:30,Parabita,30.0,Completato,0,,dedalos
